epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,118.241,1.84871,1.54276,1.4243,0.52232,0.42414,0.43478,0.2048,1.61397,1.25737,1.32927,0.0668777,0.000166444,0.000166444
2,236.338,1.70321,1.36918,1.35872,0.52954,0.47078,0.4871,0.21938,1.67998,1.18516,1.35125,0.033711,0.00033309,0.00033309
3,353.988,1.65503,1.31846,1.33588,0.56603,0.51008,0.51735,0.2658,1.50368,1.10823,1.27678,0.000544218,0.000499655,0.000499655
4,471.397,1.59428,1.2523,1.3031,0.61285,0.52639,0.56917,0.2829,1.49622,1.06239,1.25805,0.000499725,0.000499725,0.000499725
5,588.644,1.53928,1.18292,1.27558,0.62608,0.53421,0.56616,0.28668,1.5084,1.01062,1.31702,0.000499512,0.000499512,0.000499512
6,705.856,1.48476,1.1212,1.24776,0.61907,0.56568,0.60423,0.32371,1.47397,0.9445,1.26308,0.000499237,0.000499237,0.000499237
7,823.071,1.46119,1.08566,1.2404,0.67377,0.56023,0.62482,0.34587,1.35162,0.86268,1.21544,0.000498902,0.000498902,0.000498902
8,940.218,1.41617,1.03401,1.21634,0.67471,0.59057,0.63855,0.33545,1.43302,0.88135,1.28965,0.000498505,0.000498505,0.000498505
9,1057.37,1.38875,1.00558,1.2064,0.64889,0.63601,0.65483,0.34577,1.45638,0.86043,1.33624,0.000498048,0.000498048,0.000498048
10,1174.54,1.36459,0.97536,1.18858,0.71245,0.65096,0.70509,0.40213,1.2883,0.79005,1.20114,0.000497531,0.000497531,0.000497531
11,1291.75,1.3355,0.93954,1.17408,0.74555,0.68428,0.73939,0.45839,1.11505,0.70174,1.08307,0.000496953,0.000496953,0.000496953
12,1408.9,1.33028,0.93121,1.17155,0.75398,0.65885,0.72433,0.42938,1.21489,0.73915,1.12343,0.000496315,0.000496315,0.000496315
13,1525.93,1.3067,0.90428,1.15767,0.75979,0.66908,0.72717,0.43115,1.23657,0.72601,1.15287,0.000495616,0.000495616,0.000495616
